nom,vi
民皆㱕厚而革澆薄奸詭之風,dân giai quy hậu nhi cách kiêu bạc gian nguỵ chi phong
功刁󱁲庄舌催禀由,công đeo đuổi chẳng thiệt thòi lắm ru
至於管民惟務偏私不私牧養或放富差貧市村營屋咱訟不平惟黨𭁈賄幹事不敏惟飲𭁈餔,chí ư quản dân duy vụ thiên tư bất tư mục dưỡng hoặc phóng phú sai bần thị thôn dinh ốc thính tụng bất bình duy đảng dữ hối cán sự bất mẫn duy ẩm dữ bô
冬觥刎坦渃茹,chung quanh vẫn đất nước nhà
大使,đại sứ
令賜各處父道爲守禦團練等職爵中品,lệnh tứ các xứ phụ đạo vi thủ ngự đoàn luyện đẳng chức tước trung phẩm
放驩州南界石河縣人㱕本縣,phóng hoan châu nam giới thạch hà huyện nhân quy bản huyện
二月以少保黎抄子黎壽域為近侍三局正掌,nhị nguyệt dĩ thiếu bảo lê sao tử lê thọ vực vi cận thị tam cục chánh chưởng
時稱母德之冠焉,thời xưng mẫu đức chi quán yên
上皇遣左聖翊軍?黄奉世討平之,thượng hoàng khiến tả thánh dực quân tướng hoàng phụng thế thảo bình chi
帝命點視救火且檢其先至,đế mệnh điểm thị cứu hoảm thả kiểm kì tiên chí
󰋇𦝄共鈌󰋇花拱殘,mấy trăng cũng khuyết mấy hoa cũng tàn
傷𢚸𡥵𥘷䜹癡,thương lòng con trẻ thơ ngây
埮𠦳渃瀋𡽫賒,dặm nghìn nước thẳm non xa
大理斬髙函其首献于宋,đại lí trảm cao hàm kì thủ hiến vu tống
𥙩𥪞意思𦓡推,lấy trong ý tứ mà suy
造應豊莅仁行宫及永章㩧,tạo ứng phong li nhân hành cung cập vĩnh chương bạc
勑旨泉貨之用貴於上嗄流通府庫之儲貴於長久無獘,sắc chỉ tuyền hoá chi dụng quý ư thượng hạ lưu thông phủ khố chi trữ quý ư trường cửu vô tệ
体徐群𥪸𡨌𡗶猪猪,thấy từ còn đứng giữa trời trơ trơ
信𠳒城下要盟,tin lời thành hạ yêu minh
以嘗有功隨情輕仲各以流,dĩ thường hữu công tuỳ tình khinh trọng các dĩ lưu
志皮固志嵬皮空嵬,chí vừa có chí ngôi vừa không ngôi
名麻令妻氏永䏻先首免罪,danh ma lệnh thê thị vĩnh năng tiên thú miễn tội
子〇在監不讀書而專於卜術符咒誘盗人妻妾并盗取十八房應用資,tử dục tại giám bất độc thư nhi chuyên ư bốc thuật phù chú dụ đạo nhân thê thiếp tịnh đạo thủ thập bát phòng ứng dụng tư
時賛理范公著武将陶光饒亦預有參賛征討之功,thời tán lí phạm công trứ võ tướng đào quang nhiêu diệc dự hữu tham tán chinh thảo chi công
朕不知咱後,trẫm bất tri thính hậu
𡗋𠊛朱旦悲𣇞吏催,lắm người cho đến bây giờ lại thôi
九月疫作〇,cửu nguyệt dịch tác 
碎嗔勸教餒󰉨󰠃饒,tôi xin khuyên giáo nỗi rày cùng nhau
䜹浪萡分曲尼,thưa rằng bạc phận khúc này
巡檢江官諸承司府縣州外任各衙門莫不各置官以治之焉,tuần kiểm giang quan chư thừa ti phủ huyện châu ngoại nhậm các nha môn mạc bất các trí quan dĩ trị chi yên
其三徃年不合格生徒及士人補另已歸農者並許應試,kì tam vãng niên bất hợp cách sinh đồ cập sĩ nhân bổ lánh dĩ quy nông giả tịnh hứa ứng thí
固權芇沛󰜋塘執經,có quyền nào phải một đường chấp kinh
帝命朝臣會議,đế mệnh triều thần hội nghị
帝慰撫部落勞賞酋長,đế uý phủ bộ lạc lao thưởng tù trưởng
内在,nội tại
𦖑𠳒𡅳乳從容,nghe lời khuyên nhủ thong dong
至是命官襨考丁酉庚子癸卯三科生徒,chí thị mệnh quan phức khảo đinh dậu canh tí quý mão tam khoa sinh đồ
𠸜󰑼杜預号󰑼風來,tên là đỗ dự hiệu là phong lai
底 𡥵 𠫾 摸 𠮩 空 特 辰 𠇮 𡥵 𠺥 罪 朱 奇 廊,để con đi mò nếu không được thì mình con chịu tội cho cả làng
設五府掌署,thiết ngũ phủ chưởng thự
二十日仕林護王至青威縣青春舘,nhị thập nhật sĩ lâm hộ vương chí thanh oai huyện thanh xuân quán
事遂寢,sự toại tẩm
金甌〇,kim âu 
陳克終賛成之其議遂决,trần khắc chung tán thành chi kì nghị toại quyết 
阮俊裴秉彜阮自強爲左侍郎僉都御史陳瑋爲副都御史寺卿杜克敬阮瀨爲右侍郎,nguyễn tuấn bùi bỉnh di nguyễn tự cường vi tả thị lang thiêm đô ngự sử trần vĩ vi phó đô ngự sử tự khanh đỗ khắc kính nguyễn lại vi hữu thị lang
杏元𠸗拱貢胡,hạnh nguyên xưa cũng cống hồ
若武自同知以下至大隊長隊長以上等官文自尙書以下至七品孰有男子十七歲以下九歲以上就國學點目學官取簿受業,nhược vũ tự đồng tri dĩ hạ chí đại đội trưởng đội trưởng dĩ thượng đẳng quan văn tự thượng thư dĩ hạ chí thất phẩm thục hữu nam tử thập thất tuế dĩ hạ cửu tuế dĩ thượng tựu quốc học điểm mục học quan thủ bạ thụ nghiệp
遣黎克復黎粹金如元,khiến lê khắc phục lê tuý kim như nguyên
閏四月旨揮係軍民被賊捉入西都東京古弄至靈四城以補八附鐵突各軍而有田宅入爲官物即入還,nhuận tứ nguyệt chỉ huy hệ quân dân bị tặc tróc nhập tây đô đông kinh cổ lộng chí linh tứ thành dĩ bổ bát phụ thiết đột các quân nhi hữu điền trạch nhập vi quan vật tức nhập hoàn
任申十年明景泰三年夏四月因太尉黎受男黎是以是行符咒土地故也,nhâm thân thập niên minh cảnh thái tam niên  hạ tứ nguyệt nhân thái uý lê thụ nam lê thị dĩ thị hành phù chú thổ địa cố dã
𠲖欺䕃冷𣅶芇別󰦓,e khi ấm lạnh lúc nào biết đâu
秀󰜏聘吏從容吲𠻀,tú bà sính lại thong dong dặn dò
明年二月還京,minh niên nhị nguyệt hoàn kinh
十二月詔軍士繕甲治兵約以明年春二月伐占城,thập nhị nguyệt chiếu quân sĩ thiện giáp trị binh ước dĩ minh niên xuân nhị nguyệt phạt chiêm thành
事𭛁下獄皆斬之,sự phát hạ ngục giai trảm chi
秀󰜏速𥊣典𣦍,tú bà tốc thẳng đến ngay
𧵑初吏󰇥旦弹貝香,của xưa lại giở đến đàn đến hương
竹棍𦋦飭拉𠓨,trúc côn ra sức chập vào
六月六日遣審刑院使兼禮部尙書陶公僎内密院副使阮公㨿等如明歲貢,lục nguyệt lục nhật khiển thẩm hình viện sứ kiêm lễ bộ thượng thư đào công soạn nội mật viện phó sứ nguyễn công cứ đẳng như minh tuế cống
闭 除 决 罕 没 塘 進 兵,bấy giờ quyết hẳn một đường tiến binh
詢又擅調孔雀三十隻送建業,tuân hựu thiện điều khổng tước tam thập chích tống kiến nghiệp
秋八月隽秀女於殿庭,thu bát nguyệt tuyển tú nữ ư điện đình
宋人有詩云因貪交趾象却失廣原金,tống nhân hữu thi vân nhân tham giao chỉ tượng khước thất quảng nguyên kim
敢有徇私䂓財市恩挟怨聽從權勢貢舉非人及具本遲緩者許科󰱑󰁮奏治罪,cảm hữu tuẫn tư quy tài thị ân hiệp oán thính tòng quyền thế cống cử phi nhân cập cụ bản trì hoãn giả hứa khoa đài cử tấu trị tội
浪 㤙 博 固 𢚸 傷,rằng ơn bác có lòng thương
阿彌陀佛,a di đà phật
礼 楽 閑 制 道 孔 周,lễ nhạc nhàn chơi đạo khổng chu
秋七月謝來有罪伏誅,thu thất nguyệt tạ lai hữu tội phục tru
范田恐其爭權因奏斬之以首詣營門,phạm điền khủng kì tranh quyền nhân tấu trảm chi dĩ thủ nghệ dinh môn
󰜋𣳔𦹵木撑荑,một dòng cỏ mọc xanh rì
秋九月興道王夫人元慈國母陳氏薨,thu cửu nguyệt hưng đạo vương phu nhân nguyên từ quốc mẫu trần thị hoăng
丁酉四年宋嘉祐二年,đinh dậu tứ niên tống gia hựu nhị niên
吾以逸待勞󰓳不勝矣,ngô dĩ dật đãi lao miệt bất thắng hĩ
以安天下副朕所望,dĩ an thiên hạ phó trẫm sở vọng
瓊 吏 対 𬆄,quỳnh lại đối ngay
四犛八毫原例四千九百三十两,tứ li bát hào nguyên lệ tứ thiên cửu bách tam thập lượng
外 秦 晋 狹 之,ngoài tần tấn hẹp gì
作行殿於慈廉縣名由芽社以閭閻人分置官属文武進朝綏等既立天憲時黎文前為順化總兵綏有書回於文前,tác hành điện ư từ liêm huyện danh do nha xã dĩ lư diêm nhân phân trí quan thuộc văn vũ tiến triều tuy đẳng ký lập thiên hiến thời lê văn tiền vi thuận hoá tổng binh tuy hữu thư hồi ư văn tiền
加兵部左侍郎潤裔子胡士揚伯爵以其累徃關上候命接使濟事故也〇,gia binh bộ tả thị lang nhuận duệ tử hồ sĩ dương bá tước dĩ kì luỵ vãng quan thượng hầu mệnh tiếp sứ tế sự cố dã 
武添叁畧六韜埃皮,võ thêm tam lược lục thao ai bì
時莫議悉󰁮大兵催調四鎮四衛五府兵馬約十餘萬其以本月十六日至恊上恊下會兵鏖戦,thời mạc nghị tất cử đại binh thôi điều tứ trấn tứ vệ ngũ phủ binh mã ước thập dư vạn kì dĩ bản nguyệt thập lục nhật chí hiệp thượng hiệp hạ hội binh ao chiến
六月殿試,lục nguyệt điện thí
九月試國子監各路教官及有學軍民於雲集堂,cửu nguyệt thí quốc tử giám các lộ giáo quan cập hữu học quân dân ư vân tập đường
留占城主賁該及妃嬪三人于京城,lưu chiêm thành chủ bí cai cập phi tần tam nhân vu kinh thành
甲申唐咸通五年,giáp thân đường hàm thông ngũ niên
雷催坡柳󰋇梗楊䦕,loi thoi bờ liễu mấy cành dương quan
挭梨𤽸點𠬠𠄽󰊎花,cành lê trắng điểm một vài bông hoa
吝偷󰊄沫𣎀清,lần thâu gió mát đêm thanh
冬十月初六日明使錢溥等寓于使舘及還帝賫禮物送之溥等固辞不受,đông thập nguyệt sơ lục nhật minh sử tiền phổ đẳng ngụ vu sứ quán cập hoàn đế tê lễ vật tống chi phổ đẳng cố từ bất thụ
所可稱者太宗有帝王之量聖宗有仁厚之德仁宗有重興之功英宗有達孝之實明宗有文治之,sở khả xưng giả thái tông hữu đế vương chi lượng thánh tông hữu nhân hậu chi đức nhân tông hữu trùng hưng chi công anh tông hữu đạt hiếu chi thực minh tông hữu văn trị chi 
賜名應夢後累遷為行遣,tứ danh ứng mộng hậu luỵ thiên vi hành khiển
酉冲危險敢涞約初,dẫu trong nguy hiểm dám rời ước xưa
若乂安地方軍民諸色𩹌寡飢寒廢疾諸人間有欠食者承憲二司行下府縣官作急類取姓名具本𭛁給見貯官栗每人一百,nhược nghệ an địa phương quân dân chư sắc quan quả cơ hàn phế tật chư nhân gian hữu khiếm thực giả thừa hiến nhị ti hành hạ phủ huyện quan tác cấp loại thủ tính danh cụ bản phát cấp kiến trữ quan lật mỗi nhân nhất bách
庚寅慶德二年明永曆四年清順治六年,canh dần khánh đức nhị niên minh vĩnh lịch tứ niên thanh thuận trị lục niên
令旨自今該勘諸司斷已當理而訟人妄自翻襨者各隨訟理大小照官品髙下論謝錢有差〇,lệnh chỉ tự kim cai khám chư ti đoạn dĩ đương lí nhi tụng nhân vọng tự phiên phức giả các tuỳ tụng lí đại tiểu chiếu quan phẩm cao hạ luận tạ tiền hữu sai 
怒義兵之舉朕實出於不得已焉耳,nộ nghĩa binh chi cử trẫm thực xuất ư bất đắc dĩ yên nhĩ
太守周僘以交州在九圍之外百,thái thú chu xưởng dĩ giao châu tại cửu vi chi ngoại bách
吟𠳒風月𥘀願𡽫滝,ngâm lời phong nguyệt nặng nguyền non sông
事󰠲㳥󰊄不期,sự đâu sóng gió bất kỳ
加𩖀大王仍為輔臣𩖀與季犛有隙多被季,gia ngạc đại vương những vi phụ thần ngạc dữ quý li hữu khích đa bị quý
娘它別旦些庄,nàng đà biết đến ta chăng
明人退人民復業〇,minh nhân thoái nhân dân phục nghiệp 
舘浪咭𭛣尋抛,quán rằng ghét việc tầm phào
時劉廷質洞知鄭杜父子隂謀不軌乃趨步追及諫曰碩郡是乃逆賊明公不可與之偕行,thời lưu đình chất đỗng tri trịnh đỗ phụ tử âm mưu bất quỹ nãi xu bộ truy cập gián viết thạc quận thị nãi nghịch tặc minh công bất khả dữ chi giai hành
𫽄扲木󰠭束𨃐朱散,chẳng cầm mộc vững thúc giày cho tan
娘浪𡗶尔固咍,nàng rằng trời nhé có hay
安,an
慧度卒贈左將軍以其子弘文爲刺史,tuệ độ tốt tặng tả tướng quân dĩ kì tử hoằng văn vi thứ sử
浪𤾓𢆥女補𠫾󰜋𣈜,rằng trăm năm nỡ bỏ đi một ngày
世子鄭𭫨乃與碩郡同象而行,thế tử trịnh tráng nãi dữ thạc quận đồng tượng nhi hành
𣎀𣈜𡨹墨酉觥,đêm ngày giữ mực giấu quanh
曲󰠲司馬凰求,khúc đâu tư mã hoàng cầu
式曰吾足一動則城潰也,thức viết ngô túc nhất động tắc thành hội dã
卿等合體此意以盡克难之道以全終始之節無使臯𧃰稷契伊傅周召專美於前代顧不偉哉,khanh đẳng hợp thể thử ý dĩ tận khắc nan chi đạo dĩ toàn chung thuỷ chi tiết vô sử cao quỳ tắc tiết y phó chu thiệu chuyên mĩ ư tiền đại cố bất vĩ tai
娘浪㝵𠰺过𠳒,nàng rằng người dạy quá lời
朝𢚸哙固唱隨𡮨枚,chiều lòng gọi có xướng tuỳ mảy may
帝文明飾治敷賁前功忠厚存心貽謀燕翼内宁外撫紀綱󰍶張惜其不辨克終之奸𦤶國瑱之死而為聰明之累也乙卯大慶二年元延祐二年夏四月七日兢舟,đế văn minh sức trị phu bôn tiền công trung hậu tồn tâm di mưu yến dực nội ninh ngoại phủ kỷ cương tất trương tích kì bất biện khắc chung chi gian trí quốc chẩn chi tử nhi vi thông minh chi luỵ dã ất mão đại khánh nhị niên nguyên diên hựu nhị niên hạ tứ nguyệt thất nhật cạnh chu 
󰊄囂囂𠺙没𢽼𦰟𦰤,gió hiu hiu thổi một vài ngọn lau
閉󰅒几越𠊛秦隔賒,bấy nay kẻ việt người tần cách xa
𢬣空渚易尋𨪪蔭𩛂,tay không chưa dễ tìm vành ấm no
秋七月帝御含光殿觀兢舟,thu thất nguyệt đế ngự hàm quang điện quan cạnh chu
昆㝵些沛別朱覩調,con người ta phải biết cho đủ điều
椿萱歲鶴㐌高,xuân huyên tuổi hạc đã cao
卑小而精勇亦得上充,ti tiểu nhi tinh dũng diệc đắc thượng sung
詔度天下人民為僧,chiếu độ thiên hạ nhân dân vi tăng
勑旨各處承宣府縣官等將視田疇勸民引水及時播秧,sắc chỉ các xứ thừa tuyên phủ huyện quan đẳng tương thị điền trù khuyến dân dẫn thuỷ cập thời bá ương
童浪𡮇汝塊棱,đồng rằng chút nữa khỏi rừng
𠄩卢爲𡛔紅顔,hai lo vì gái hồng nhan
㐌停𥒥󰞺鐄派,đã đành đá nát vàng phai
故之𡎦忍更殘,cớ chi ngồi nhẫn canh tàn
冬十月遣杜天覰如元,đông thập nguyệt khiến đỗ thiên thứ như nguyên
期府縣州官拘集社官各将本社户口赴京對寫,kì phủ huyện châu quan câu tập xã quan các tướng bản xã hộ khẩu phó kinh đối tả
初七日以占降人巴太為太占同知州多水為僉知州,sơ thất nhật dĩ chiêm hàng nhân ba thái vi thái chiêm đồng tri châu đa thuỷ vi thiêm tri châu
