nom,vi
居 光 㐌 𠇍 𨑗 𠁀,ư  đã ấ ê đờ
唒 花 𥉫 𧡊 拱 派 牟 紅,ẫ  ô ấ ũ  ầ ồ
群 庒 客 於 𡽫 𤂧,ò ă á ở  ồ
顔 色 形 容 澄, ắ ì  ừ
𧊉 浪 𨖲 𠳨 宮 𦝄,ướ ằ ê ỏ  ă
固 欺 拱 摱 赤 绳 車 緣,ó  ũ ượ í ằ  ê
𠳒 凣 𠳨 寔 客 仙,ờ à ỏ ự á ê
圭 𠸜 根 原 世 芇,ê ê ă ê ế à
當 干 平 地 波 濤,đươ ơ ì đị  đà
𠫾 麻 吏 尋 𠓨 旦 低,đ à ạ ì à đế đâ
催 停 想 𩙌 𥉫 𩄲,ô đừ ưở ó ô â
絲 秦 𥿗 晋 產 低 朱 耒,ơ ầ ỉ ấ ẵ đâ  ồ
花 浪 呐 拯 料 𠳒, ằ ó ẳ ệ ờ
縁 𠊚 吏 固 縁 𡗶 㵋 𢧚,ê ườ ạ ó ê ờ ớ ê
仕 𪨀 初 𣅶 𧴤 𠸜,ẩ ú ư ú ó ê
准 空 辰 准 願 庒 衝,ố ô ì ố ề ẳ 
𣅶 於 默 䋥 𪀄 鴻,ú ư ắ ướ  ồ
埃 咍 必 宰 别 𥪝 机 𡗶,  ấ ưở ế  ơ ờ
𦎛 塵 𥙩 帝 麻 𥋸,ươ ầ ấ đấ à 
料 牢 朱 沛 𨑗 𠁀 買 饒,ệ   ả ê đờ ấ 
𧊉 浪 𦋦 之 𥹰,ướ ằ   â
催 停 迡 𫏾 邀 𡢐 女 情,ô đừ ì ướ ê  ữ ì
女 牢 塊 㗂,ữ  ỏ ế
決 𢚸 𣘈 鉄 底 名 𥪝 𠁀,ế ò  ắ để   đờ
香 皮 外,ươ ừ à
𥋷 𥉫 㐌 𧡊 𠊛 情 鍾,á ô đã ấ ườ ì 
月 花 堆 𡨸 憹,ệ  đô ữ ù
庒 符 𧆄 㐌 迷 𢚸 杏 春,ẳ ù ố đã ê ò ạ â
花 浪 𣷭 愛 源 恩, ằ ể á ồ â
計 牢 朱 掣 餒 塘 𨤮 賖,ể   ế ỗ đườ ậ 
庒 生 拱 㗂 𬁖 沙,ẳ  ũ ế  
庒 𦹳 拱 世 花 㭌 艚,ẳ ơ ũ ể  ư ầ
㐌 算 用 斫 𪽋 侯,đã  ụ ướ ư ầ
双 離 菓 𣷭 溇 坤 𨃝,  ả ể â ô ò
固 埃 别 餒 尼 朱,ó  ế ỗ à 
𠬠 𨉓 強 𢪀 強 𢗼 添 強,ộ ì à ĩ à  ê à
責 埃 牢 拯 料 塘,á   ẳ ệ đườ
𬁖 才 低 曲 江 狹 回, à đâ ú  ẹ ò
芇 𣷭 𢌌 滝 𨱽,à ể ộ ô à
少 之 竜 鳳 約 願,ế ì  ượ ướ ề
隻 船 杜 𣷷 容 营,ế ề đỗ ế  
徐 朱 特 客 鍾 情 𨀈 𫥨,ờ  đượ á  ì ướ 
𧊉 浪 此 𡑰 花,ướ ằ ử ườ 
戈 𨔈 風 景 䀡 𫥨 世 芇, ơ  ả   ế à
吨 低 固 客 媽 桃,đồ đâ ó á á đà
朱 𢧚 𠇍 沛 尋 𠓨 典 低, ê ấ ả ì à đế đâ
悲 𣉹 鵉 鳳 逞 排,â ờ  ượ á ầ
桃 東 㦖 𠳨 柳 西 𠳒,đà đô ố ỏ ễ â ờ
𢪀 牢 唉 客 章 臺,ĩ  ỡ á ươ đà
些 𫢩 仍 几 𠊚 才 名,  ữ ẻ ườ à 
女 才 聘 𠇍 朱 生,ữ à á ấ  
如 𩙌 如,ư ó ư
𢪀 牢 朱 院 𤾓 塘,ĩ   ẹ ă đườ
拯 涅 𥒥 派 鐄 麻 催,ẳ á đá  à à ô
𢪀 浪 𢝙 丕 麻 𨔈,ĩ ằ  ậ à ơ
㐌 𨔈 固 少 之 尼 有 情,đã ơ ó ế ì ơ ữ ì
埃 喂 渚 倍 誇 𠇮, ơ ớ ộ  ì
春 群 𡗋 几 才 名 𨔍 𠁀,â ò ắ ẻ à  ạ đờ
㗂 湖 仍 渃 群 潙,ế ồ ư ướ ò ơ
花 蓮 㐌 沛 葛 淋,  đã ả á ầ
槾 桃 妬 沛 渃,ậ đà đó ả ướ
妬 群 𢧚 價 買 𤾓 澄,đó ò ê á ấ ă ừ
花 𦖑 咳 𡂱 如,   đắ ư
愁 𥢆 吏 底 朝 𦝄 𥙩 𢚸,ầ ê ạ để ề ă ấ ò
催 催 𢪀 吏 朱 穷,ô ô ĩ ạ  ù
景 情 兑 典 𪀄 篭 買,ả ì đá đế  ồ ấ
之 𦑃 花 桃,ì á  đà
㗂 𧵆 賖 𧘇 覩 𠓨 朱 埃,ế ầ  ấ đổ à  
否 戈 催 𨅸 吏 𡎢,ũ  ô đứ ạ ồ
占 包 魂 梅 𥊚 𥇀,ê  ồ  ơ à
𧊉 浪 倍 鐄,ướ ằ ộ à
催 停 𥙩 每 塘 庒 𢧚,ô đừ ấ ọ đườ ẳ ê
𢖵 之 欣 女 𢖵 縁,ớ ì ơ ữ ớ ê
𠦳 鐄 渚 易 覩 𡊰 𢚸,ì à ư ể đủ đề ò
固 香 䏾 𦝄 𧷺,ó ươ ó ă ò
強 𦖑 猿 唿 強 愁,à  ượ ó à ầ
滝 銀 渚 北 衝 梂,ô â ư á  ầ
𦛌 蟳 𠃩 曲 𤋵 油 如 汙,ộ ằ í ú ã ầ ư 
魂 枚 魄 桂 矧 疎,ồ  á ế ẩ ơ
聀 鐄 𧊉 㕸,ấ à ướ ắ
挨 𨕭 摱 𠳨 𦝄 𫅷, ê ượ ỏ ă à
朱 𥙩 𨑮, ấ ươ
縁 初 固 世 尼,ê ư ó ế à
箕 朱 蒂 陳 低 仍 𠊛,  đấ ầ đâ ữ ườ
為 埃 禁 𩙌 垠 滝,  ấ ó â ô
爫 朱 牛 女 𡗶 蒙 𨖅 求,à  ư ữ ờ   ầ
欺 彈 六, đà ú
句 傳 初,â ệ ư
味 蘭 桂 称 渚,ù  ế ứ ư
情 𦋦 𥆾,ì  ì
冰 傾 𫢩 待 枚 尋,â â  đợ  ì
計 功 别 𠇍 𠦳 功,ể ô ế ấ ì ô
責 埃 拯 院 𡨸 同,á  ẳ ẹ ữ ồ
筭 𦖑 英 燕 負 𢚸 故 人,   ế ụ ò ố â
為 之 堆 𡨸 朱 陳,ì  đô ữ â ầ
朱 𢧚 𫢩 晋 埕 秦, ê  ấ ì ầ
干 滝 渃 𣳮,ơ ô ướ ã
㩒 樔 吏 妬 庒 戈 為 情,ắ à ạ đó ẳ  ì ì
厨 芇 𫢋 拯 䧏 生,ù à ậ ẳ á 
花 𦹳 埃 拯 損 梗 麻 𨔈, ơ  ẳ  à à ơ
呐 𦋦 芒 㗂 𡗋 𠳒,ó   ế ắ ờ
唵 𦋦 辰 𢘝 𢚸 𠊛 世 芇,ướ  ì ể ò ườ ế à
闭 𫢩 咹 槾 者 桃,ấ  ă ậ ả đà
信 𠫾 信 吏 别 包 工 呈, đ  ạ ế  ô ì
𢧚 丕 唉 客 春 𣛟,ê ầ ở á â 
我 迎 沛 呐 底 情 尼 咍,ã ê ả ó để ì à 
爫 之 吝 𢠩 恾,à  ầ ơ à
麻 𩈘 㳥 花 枚 淡 牟,à ặ ó   đươ à
芇 滝 油 𦒹 頭,à ô ù á đầ
底 些 覩 貝 愁 朱 衝,để  đổ ớ ầ  
責 埃 牢 庒 訴 𢚸,á   ẳ ỏ ò
筭 肝 此 英 碓 特 庒,  ử  đô đượ ă
撑 牢 拱 𧗱 棱,  ũ ề ừ
妬 埃 禁 𩙌 停 容 𣘃,đó  ấ ó đừ  â
箕 群 别 𩄲, ò ế â
唒 牢 瑟 拱 攄 琴,ẫ  ắ ũ ự ầ
花 浪 咳 客 知 音, ằ ỡ á  â
固 者 情 深 買,ó ả ì â ấ
閉 𫢩 信 𢭮 書 迻,ấ   ử ư đư
爫 之 朱 雁 别 𢚸,à   ạ ế ò
彈 箕 𣅶 𦝄 沖,đà  ú ă 
吟 詩 白 雪 打 宮 春 情,â ơ ạ ế đá  â ì
圣 他 圣 如 生,á  á ư 
爫 之 煩 底 情 矧 詩,à  ề để ì ẩ ơ
當 干 𢭸 幅 萌 疎,đươ ơ ự ứ à ư
花 𦹳 嗷 𠯪 𩙌 迻 冷 𨓡, ơ à ạ ó đư ạ ù
船 埃 箕 待 边 滝,ề   đợ ê ô
固 𢚸 渚 客 咍 空 咳 船,ó ò ớ á  ô ỡ ề
𧊉 箕 𨔍 渚 悁,ướ  ạ ử 
𢚸 群 㦖 𠳨 根 原 𠇍 𠳒,ò ò ố ỏ ă ê ấ ờ
船 渚 客 賖 𨔈,ề ớ á  ơ
空 仍 船 固 棟 尼 𣷷 尼,ô ư ề ó đó ơ ế à
花 箕 群 别 𤊰 𣘃,  ò ế é â
嬋 娟 牢 塊 細 𢬣 英 豪,ề ê  ỏ ớ   à
箕 染 渃 扶 桃, ộ ướ ù đà
㐌 磋 𢧚 𡶀 别 包 𣉹,đã â ê ú ế  ờ
𡦂 情 吏 平 𡽫,ữ ì ạ ằ 
春 群 情 群,â ò ì ò
𢝙 台 趣 味 清 閒,  ú ị  à
人 生 典 世 欣 戾 之,â  đế ế ơ ệ ì
𠦳 春 義 瀋 情 𥱬,ì â ĩ ắ ì 
沛 如 咹 於 時 咳 埃,ả ư ă ở ì ỡ 
花 浪 催 拱 别 𠊚, ằ ô ũ ế ườ
爫 之 女 世 唭 𠊚 吱,à  ữ ế ườ ườ ê
雪 霜 𢢆 几 𠫾 𧗱,ế ươ ẹ ẻ đ ề
箕 滝 怒 𡶀 𠳒 誓 渚 悁,ì ô ọ ú ờ ề ư ê
𧊉 浪 碑 鑿 群 𠸜,ướ ằ  ạ ò ê
埃 麻 負 泊 付 𨕭 紅, à ụ ạ ó ê ồ
悲 𣉹 𢚸 㐌 别 弄,â ờ ò đã ế ò
工 𡗶 拱 𡊰 功 𠊚,ô ờ ũ đề ô ườ
呐 臭 呐 虎 賖 吹,ó ấ ó ổ  ô
䀡 𥪝 賦 意 覩 𠳒 冬 迻,  ú ấ đủ ờ đ đư
𡄎 徐 課 怒 典 𣉹,ẫ ừ ở ọ đế ờ
𠇍 𠳒 句 𠸠 拯 差,ấ ờ â í ẳ 
朱 𢧚 固 達 𠇍 𠳒, ê ó đặ ấ ờ
唒 𠸦 拱 默 唒 唭 庒 牢,ẫ  ù ặ ẫ ườ ẳ 
𠊚 芇 種 性 𠊚 芇,ườ à ố í ườ à
意 埃 意 𧘇 攄 牢 朱 皮,ý  ý ấ ự   ừ
句 𠰘 𩵜 坤 皮,â ệ á ô ừ
達 麻 𠳒 沛 𢜝 埃 吱 唭,đậ à ờ ả ợ   ườ
傳 尼 劄 事 𠁀,ệ  é ự đờ
典 欺 從 且 䀡 制 之,đế   ả  ơ ì
𠰘 渚 㗂 冷 吨 賖,ệ ư ế à đồ 
鄕 場 皮 課 典 科,ươ ườ ừ ở đế 
會 功 名 𧘇 埃 劒 埃,ộ ô  ấ  é 
達 自 𠵌 体 边 𦖻,đạ ừ  ấ ê 
可 浪 埃 亟 别 芸 咹 制,ả ằ  ẳ ế ề ă ơ
𡬶 柴 嗔 𨄹 塘 枚 𦋦 𧗱,ì ầ  ạ đườ   ề
揞 自 𢄂 爫 闺,ô ừ ợ à ê
乾 坤 梗 𨕭 𦠘,à ô á ê 
别 埃 師 弟 别 埃 小 童,ế  ư đệ ế  ể đồ
𣈜 真 𨄹 塘 樁,à â ạ đườ ô
台 丿 㐌 塊 滝 求, ú đã ỏ ô ầ
𠳨 深 典 楼,ỏ ă đế â
𠵌 信 生 買 長 兄,   ớ ưở 
共 饒 計 歇 事 情,ù  ể ế ự ì
𭮫 耒 生 買 𦋦 呈 憲 官,đạ ồ  ấ  ì ế 
浪 碎 𥪝 几 士 寒,ằ ô  ẻ ĩ à
𠵌 𫥨 秩 解 長 安 陣 尼,  ậ ả ườ  ậ à
𠳚 戈 官 奇 特 台,ử   ả đượ 
𠰺 浪 些 錦 文 章,ậ ằ  ẫ ă ươ
三 魁 不 及 四 場 有 餘, ô ấ ậ ứ ườ ữ ư
𠰺 朱 𥺊 蒌 荼,ạ  ạ  ư
小 侯 𠄩 矴 迻 𠄩 払,ể ầ  đứ đư  à
闭 除 師 買 煩,ấ ờ ư ớ ề
𠓨 誦 念 奏 𨕭 𫢋 䑓,à ụ ệ ấ ê ậ đà
南 無 𫢋 教 如 來, ô ậ á ư 
渃 楊 急 洒 胣 𠊛 撕 迷,ướ ươ í ướ ạ ườ ê ê
枚 𢝙 買 竹 鳯 掑 買 鵉,  ấ ú ượ ề ấ 
南 無 芇 客 紅 顔, ô à á ồ 
𧵆 尼 便 特 咀 嘆 事 𢚸,ầ ơ ệ đượ ở  ự ò
南 無 色 空, ô ắ ô
庵 𩄲 念 𫢋 𡽫 蓬 想 仙, â ệ ậ  ồ ưở ê
沛 移 矯 㐌 拮 𡬶 科 鄉,ả ờ ẻ đã ấ ì  ươ
㛪 𥛉 𫏾 軒 堂, ạ ướ ê đườ
𥚆 袩 𣈙 㐌 恪 常 𠊛 些,ì  à đã á ườ ườ 
𢨵 𣦍 深 瀋 細 茹 翁,õ  ă ẳ ớ à ô
汫 卒 清 台 汫 𨔍 𨓡,ế ố  ơ ế ạ ù
梂 抛 抛 堆 版 夾,ầ   đô á á
渃 𤄯 𣱾 𣱾 𣳔 通,ướ   ẻ ò ô
𥛉 蹆 𠄩 𡥚 拱 𦋦,ạ   ã ù 
𢚸 春 歆 𠼯 𣷮 羊 習,ò â ă ở ố ươ ậ
玉 清 𨿽 庒 𢚸 腰,ọ   ẳ ò ê
𠇍 生 袩 共 𦋦 朝 堇 𢠐,ấ   ũ  ề ẩ ơ
䝉,
㐌 𠲖 昆 買 吏 绳 甘,đã   ấ ạ ằ 
訴 𦋦 世 拱 袩 岩,ỏ  ế ũ  à
謹 时 𬛈 埃 爫 朱 生,í ờ   à  
信 麻 吘 事 情, à ỏ ự ì
命 丿 耒 納 𠇮 吏 𠵌,ì ú ỗ é ì ạ 
油 生 杜 翁 宜,ù  đỗ ô è
乙 些 拱 預 時 榮,ắ  ũ ự ờ 
𠄩 払 自 課 𦋦 𠫾, à ừ ở  đ
山 南 秩 解 𦊚 期 首 科,ơ  ậ ả ố ỳ ủ 
㗂 屯 代 泣 𧵆 賖,ế đồ ậ ắ ầ 
㛪 買 𧿨 吏 本 鄉, ấ ở ạ ả ươ
𫏾 吏 萱 堂,ướ ạ ê đườ
𨍦 𢜠 㛪 𡛔 𠄩 娘 産 疎, ừ  á  à ở ơ
媄 昆 路 傳 𨍦 初,ẹ  ò ệ  ư
台 麻 結 㐌 除 𡾵 𨖅, à ế đã ờ ô 
線 精 每 添 強,ế  ọ ê à
皮 戈 辛 卯 吏 𨖅 壬 辰,ừ  â ã ạ  â ì
會 春 計 外 𠀧 𠦳,ộ â ể ạ  ì
皇 埃 拱 𡬶 𨖲 𡗶,à  ũ ì ê ờ
𠀧 𤾓 奇 策 都 才, ă ì á đ à
芸 庭 撟 榜 群 𠄩 𫽄 包,â đì é ả ò à ẳ 
𧵆 賖 埃 歌 謠,ầ    
固 𠄩 户 阮 𠸜 榜 𣘈,ó  ọ ễ ê ả 
𠄩 𠊛 盎 雲 門, ườ á â ô
𡾵 同 進 士 名 屯 𢄂 圭,ô đồ ế ĩ  đồ ợ ê
買 𠄩 𡥚 隨 兒,ấ  ã ỳ 
郎 𠳚 憲 𧗱 呈 師, ử ế ề ì ư
𡨸 浪 天 道 無 私,ữ ằ ê đạ ô ư
爫 𢧚 𦊚 德 恩 如 道 𠀧,à ê ố đứ ơ ờ đạ 
些 浪 玉 静 昆 些, ằ ọ ĩ  
嫁 朱 阮 達 交 和 人 縁,ả  ễ đạ  à â ê
玉 清 自 課 信 傳,ọ  ự ở  ề
明 勹 庒 安 於 耒,ừ ỡ ẳ ê ở ồ
明 浪 払 㐌 𢧚 名,ừ ằ à đã ê 
明 浪 払 㐌 𢧚 名,ừ ằ à đã ê 
𡲤 酌 些 拱 盃 𥪝 每 皮,ả ướ  ũ   ọ ề
𢪀 浪 𡨸 貴 易 交,ĩ ằ ữ ý ị 
新 城 乙 𫽄 劒 之 紅 顔,â à ắ ẳ é ì ồ 
哸 生 耒 吏 嫁 娘 朱 生,ô  ồ ạ ả à  
払 生 恩 憲 官,à  ơ ế 
於 冷 埋 吏 﨤 冷,ở à  ạ ặ à
𪽝 先 積 買 生 𡥵 䝨,ở ê í ớ   ề
鑿 碑 𧘇 底 世,ạ  ấ để ế
喃 哪 集 笔 研 剳 爫,ô  ậ ú ê é à
補 才 盘 妬 𡦂 𠫾 傕,ỏ à à đố ữ đ ô
仍 英 䧺 𭂑 女,ữ  ù ụ ữ
祖 秃 𥒦 怍 耒,ổ ó đĩ ợ ồ
改 良 𫢩 吏 𢵋 𢝙 𠃣 痴,ả ươ  ạ đ  í ì
𫢩 當 𣇊 争 詩 鍾 鼎, đươ ữ    đỉ
埃 伶 𢬣 窖 性 辰 𢧚,   é í ì ê
埃 麻 𠫾 踸 𥄭 悁, à đ ậ ủ ê
乙 𠊚 捧 𢬣 𨕭 庄 群,ắ ườ ỗ  ê ẳ ò
庄 責 仉 粉 𣘈 愚 𢘽,ẳ á ẻ ấ   ạ
只 責 𠊚 襖 解 鬚 眉,ỉ á ườ á ả  
拱 𠊚 格 物 致 知 大 才,ũ ườ á ậ í  đạ à
拱 𠊚 博 書 詩,ũ ườ á ư 
牢 女 怍 局 𠁀 倍, ỡ ợ ộ đờ ộ
𨷑 𫼳 補 奇 庄 𥆾,ở  ỏ ả ẳ ì
坤 之 𠎪 𡊨 㛪,ô ì ũ đà 
女 招 梗 咍 䝨 别 之,ỡ  á  è ế 
才 𨇜 争 詩 坤 窖,à đủ   ô é
化 朱 𢧚 老 道 𠬠 命,á  ê á đá ộ ì
塘 𨱽 𨤮 功 程,đườ à ặ ô ì
強 𠫾 強 庄 体 英 蹺,à đ à ẳ ấ  
𭈥 英 伴 𫥨 𣌋 最,ế  ậ  ớ ố
𥉫 𡊨 𡥵 礼 拜 蜍,ô đà  ễ á ờ
咍 英 群 𠭤,  ò ỡ
性 算 𣗓 及 𢧚 陀 吏 傕,í á ư ị ê đà ạ ô
油 英 傕 拱 辰 沛 𢪀,ù  ô ũ ì ả ĩ
𠎪 㛪 愚 庫 体 盛 強,ũ   ó ấ ị ườ
朱 𠊚 只 𡑩 拸 塘,ờ ườ ỉ ẻ đư đườ
其 村 商 賣 怒 廊 百 公,ì ô ươ ạ ọ à á ô
辰 㛪 拱 𢝙 𢚸 痗 襘,ì  ũ  ò ỏ ố
判 𥪞 𠇍 𢆥 𡗶,á  ấ ă ờ
感 㤙 英 指 𫮇 買 𢧚,ả ơ  ỉ ố ớ ê
文 郎 固 賊 掛 尼 边 陲,ă  ó ặ ấ ơ ê ỳ
埃 英 補 偈 㛪,  ỏ ệ 
𫢩 些 朱 將 軍 𠫾,   ướ â đ
𢧚 虛 咍 𧿨 庄 儋 呐 之,ê ư  ở ẳ è ó 
各 英 據 醝 離 棋 泊,á  ứ  ì ờ ạ
只 𢴑 排 鉢 桄 𫷜,ỉ ắ à á  ă
才 盘 輸 計 行 𤾓,à à  ể à ă
𫴋 扶 董 𣄒 没 期 𠀧 秋,ố ù đổ ở ộ ỳ  
𠃣 痴 輸 計 旦 𠄼 𫤯 𠦳,í ì  ể đế ă á à
耒 𫥨 𠫾 揲 賊,ồ  đ ẹ ặ
𠢞 衝 渃 𧘇 𧗱 朝 些 低,ú  ướ ấ ề ầ  đâ
將 箕 領 命 𠫾 𬆄,ướ  ĩ ệ đ 
富 翁 拱 𣅶 𥊚 尼 醒 𫥨,ú ô ũ ú ơ à ỉ 
輸 泰 𬨨 吹 𢧚 𡗋 幣, á á  ê ắ ệ
𣃣 咍 報 𥪝 茄,ừ  á  à
宮 𦝄 桂 㐌 艿 𫥨 没 梗, ă ế đã ả  ộ à
香 迻 𠶗 㘃 門 庭,ươ đư ự ứ ô đì
𥋳 𠊚 異 𠍵 𤑟 形 𣅶 迷, ườ ị ạ õ ì ú ê
翁 婆 𢜠 懙 𤾓 皮,ô à ừ ỡ ă ề
鐄 招 玉 𣋽 𣌉 拯,à  ọ ớ  ẳ
㐱 𠲖 神 梦 𠇍 𠳒,ỉ  ầ ộ ấ ờ
𡥵 𨖲 𠀧 𣦮 𧗱 𡗶 空 𥹰, ê  ổ ề ờ ô â
翁 撑 假 之 饒,ô  ả  
固 𦓡 固 𠱋 空,ó à ó ù ô
餒 𥢆 𢚸 仍 𢠣 𢚸,ỗ ê ò ữ ậ ò
𥪞 謹 拯 吘 穷 埃 咍, í ẳ ỏ ù  
兜 特 𠇍 𣎃 迟,đâ đượ ấ á ầ
富 翁 㐌 𧗱 𬆄 𤂬 鐄,ú ô đã ề  ố à
老 婆 隻 𩄴 𢩣 霜,ã à ế ó ồ ươ
姅 𠲖 𡥵 𪨅 姅 傷 𨉟 𫅷,ử   ẻ ử ươ ì à
法 律 箕 庄 計,á ậ  ẳ ể
固 押 仉 顛 頭,ó é ẻ đ đầ
空 療 領 𩢬 𠑬 𥙩 銭,ô ề ĩ ừ  ấ ề
𦹵 𪃿 論 噴 蹽 𨒺 𠵽,ỏ à ú ú   é
亇 𩷉 離 西 澮 𡧲 𣳔,á ế   ộ ữ ò
瓊 割 䓂,ỳ ắ ọ
群 包 㭲 夜 抌 納 主,ò  ó ạ đ ộ ú
主 沛 𠄩 吝 𪐝,ú ả  ầ ắ
仍 㐌 卒 順 耒,ư đã ó ậ ồ
空 爫 芇 特,ô à à đượ
吏 旦 吝 次 𠀧,ạ đế ầ ứ 
瓊 旦 吀 辰 主 𥙩 奇 㭲 吝 䓂,ỳ đế  ì ú ấ ả ố ẫ ọ
群 曲 朱 瓊,ò ú  ỳ
瓊 假 格 嗃,ỳ ả á ê
姉 𥙩 辰 㛪 群 特 之,ị ấ ì  ò đượ ì
女,ữ
懇 𠫾 懇 吏,ấ đ ấ ạ
主 一 定 空 𦖑,ú ấ đị ô 
瓊 𧗱 㮔 全 穭 吳,ỳ ề ồ à ú ô
旦 期 特 𢯏,đế ì đượ ẻ
包 辰 𥙩, ì ấ
群 䓂 吧 㭲 抌 納 主,ò ọ à ố đ ộ ú
主 默 謀 𠀧 吝,ú ắ ư  ầ
𠾕 吏 𪽞 空 朱 𦓿 女,đò ạ ộ ô  ầ ữ
仍 𦓡 𥪝 𠀧 務 意,ư à   ù ấ
瓊 㐌 劒 特 丐 本 𡚢 耒,ỳ đã ế đượ á ố  ồ
𠬠 吝 翁 琼 𠓨 謁 殿,ộ ầ ô ỳ à ế đệ
𧡊 主 固 銭 鉑,ấ ú ó ề ạ
定 撝 𦓡 懇 浪,đị  à ấ ằ
擬 𠇮 分 𦟐 桃 𣘈 粉,ĩ ì ậ á đà  ấ
罕 縁 扵 分 荫 欣 𠊛,ắ ê ư ậ ấ ơ ườ
𫨩 𡥵 造 撩 𤾰,  ạ ê ươ
無 縁 抪 纀 𥙩 𠊛 紅 顔,ô ê ó ộ ấ ườ ồ 
𠸦 朱 妬 奇 肝 月 老,  đó ả  ệ ã
打 𨢇 㖇 車 人 縁,đá ượ è  â ê
故 如 妾 婵 娟,ớ ư ế ề ê
空 辰 𠤌 羣 慳 恄 夷,ô ì ớ ò  é ì
察 𠇮 体 西 施 怒,é ì ể â  ọ
𩈘 傾 城 今 古 無 双,ặ  à  ổ ô 
曲 琴 𠫾 𨁥 𠄼 宮,ú ầ đ đủ ă 
㗂 絲 㗂 銅 台,ế ơ ế đồ 
詩 怒 别 篇 𨱽 勾, ọ ế ê à â
汫 意 清 新 埃 别,ế ấ  â  ế
書 生 嗔 且 哪 𬗝 𬗝,ư   ả ạ ồ ồ
㛪 度 尼 縱 竭 𬨨, độ à ú ệ á
𦓡 姉 固 銭 底 空,à ị ó ề để ô
吀 姉 朱 㛪 撝, ị   
底 劍 利 餒 𡥙,để ế ờ ô á
呐 耒 阴 阳,ó ồ â ươ
𠮩 𢺹 𦊛 姉 朱 撝 𠬠 分,ế  ư ị   ộ ầ
辰 吀,ì 
𢺹 𠀧 姉 朱 㛪 撝 𠬠 分,  ị    ộ ầ
辰 吀 𫤋,ì  ử
𠮩 姉 朱 撝 𠬠 𤖩,ế ị   ộ ử
辰 吀 一 阴 一 阳,ì  ấ â ấ ươ
𫥨 分 芇 琼 拱 𢬇 奇, â à ỳ ũ ữ ả
主 㐌 别 性 瓊 咍 馿,ú đã ế á ỳ  ừ
空 空 𫤋,ô ô ử
空 朱 一 阴 一 阳,ô  ấ â ấ ươ
爫 𠄩 同 拠 𢮿 節 𠫾,à  đồ ứ  í đ
瓊 𧡊 撫 𢬣 謡 𨖲 浪,ỳ ấ ỗ   ê ằ
銭 𢱖 主 𢜠,ề ú ú ừ
姉 平 𢚸 朱 㛪 撝 奇,ị ằ ò    ả
呐 衝 抌 𧗱 茹,ó  đ ề à
寔 主 英 如 拱 默 謀 瓊,ậ ú  ư ũ ắ ư ỳ
𣅶 於 外 如 仙 𫅠,ú ở à ư ê đẹ
𣅶 𡎢 如 体 魔,ú ồ ư ể 
特 辰 𢝙 𨤔 唭 𨥁,đượ ì  ẻ ườ à
搈 蹎 唿 如 䏾 翁, â ú ư ỗ ô
仉 輸 泰 中 𢚸 即 恨,ẻ  á  ò ứ ậ
犯 顔 𫺓 哏 裙 𠑬,ạ  ố ắ ầ 
𢞅 𡥵 𢚸 吏 淡 陀,ê  ò ạ đậ đà
羕 如 𢪲 𠨡 花 𣎀 𣈜,ườ ư â ứ  đê à
𢪲 拯 𫵀 淶 𢬣,â ẳ ú ờ 
懞 𣎀 别 呐 懞 𣈜 别 𠫾, đê ế ó  à ế đ
𠀧 𢆥 飭 持, ă ứ ì
𦓡 𡥵 摘 摘 知 知 𨔍 讓,à  í í   ạ ườ
𨔍 㳥 𣷭 𠰘 廊,ạ ó ể ệ à
仍 𠳒 制 每 塘 箕,ữ ờ ế ọ đườ 
不 仁 𢀭 𧘇 寶,ấ â ầ ấ á
𡗶 朱 貴 子 𣃣 𣃣 唫,ờ  í ử ừ ừ â
婆 𦖑 𧡊 仍 𤴬 𢚸,à  ấ ữ đ ò
𥢆 𨉓 只 𤋵 良 心 𠇍 𡗶,ê ì ỉ ã ươ â ấ ờ
𣘃 𦖻 古 捛 頭,ã  ổ ả đầ
中 𫩖 𡄁 稟 喽 庫 𦖑, ồ ẩ ẩ ủ ó 
買 𡎢 哬 𠯋 親 切,ớ ồ ả ê â ế
據 呐 能 乱 射 庄 京,ứ ó ă ạ ạ ẳ ê
𣅶 輸 𡢐 教 折 尽 情,ú  â á ế ậ ì
不 期 仉 重 𠊚,ấ ì ẻ ọ ườ
吒 𡥵 伴 友 拱 𠱷 吝 𠑬,  ạ ữ ũ ì ẫ 
庒 法 則 頭 之 奇,ẳ é ắ đầ  ả
軍 排 曲 𦛌 連,â à ú ộ ề
動 期 蕞 期 特 𬆄,độ à ỏ à đượ 
𡥵 中 𢲬 𢬣 打 計,  ò  đá é
偨 伵 外 𥄫 𥇚 𢺺 排,ầ ớ à ấ é  à
他 浪 春 日 都 𢝙,à ằ â ậ đ 
欺 爫 拱 固 欺 𨔈 計 夷, à ũ ó  ơ ể ì
仍 棋 泊 卒 辰 𠄼 𣎃,ư ờ ạ ố ì ă á
欺 於 欺 伴 𡀍 𠫾, ở  ạ ủ đ
吏 添 秃 𥒦 𠃣 痴,ạ ê ó đĩ í ì
𡀍 𠑬 𠫾 棧 𨔈 辰 旦 冬,ủ  đ ạ ơ ì đế đô
排 歌 𫯳 㐌 呐,à  ồ đã ó
謨 麻 䀡 𠀍 態 人 情, à  ế á â ì
